orig.ident	nCount_RNA	nFeature_RNA	plate	Cell_type	Age	Age_Cell_type	pool	Pool_Cell_type	percent.mt	percent.ERCC
X2020_246s_F1_S195_L002_R1_001.2020_246s_F1_S195_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	264629	5166	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	1.43143797542975	0.06310721802977
X2020_246s_F2_S203_L002_R1_001.2020_246s_F2_S203_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	5496	1844	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	1.3646288209607	0.0727802037845706
X2020_246s_F5_S227_L002_R1_001.2020_246s_F5_S227_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	171349	5557	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	1.3504601719298	0.0484391505056931
X2020_246s_F6_S235_L002_R1_001.2020_246s_F6_S235_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	59018	5408	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	3.20919041648311	0.0304991697448236
X2020_246s_F7_S243_L002_R1_001.2020_246s_F7_S243_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	109504	3879	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	2.15791203974284	0.149766218585622
X2020_246s_F8_S251_L002_R1_001.2020_246s_F8_S251_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	6697	1601	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	2.88188741227415	0.104524413916679
X2020_246s_F11_S275_L002_R1_001.2020_246s_F11_S275_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	30717	4561	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	4.52518149558876	0.136732102744409
X2020_246s_F12_S283_L002_R1_001.2020_246s_F12_S283_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	37525	5002	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	4.18387741505663	0.0692871419053964
X2020_246s_F13_S291_L002_R1_001.2020_246s_F13_S291_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	9211	2008	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	4.84203669525567	0.401693627184888
X2020_246s_F14_S299_L002_R1_001.2020_246s_F14_S299_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	11920	2729	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	4.96644295302013	0.109060402684564
X2020_246s_F17_S323_L002_R1_001.2020_246s_F17_S323_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	37036	4019	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	4.31472081218274	0.170104762933362
X2020_246s_F18_S331_L002_R1_001.2020_246s_F18_S331_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	23161	2898	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	3.03527481542248	0.125210483139761
X2020_246s_F19_S339_L002_R1_001.2020_246s_F19_S339_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	6015	1640	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	4.23940149625935	0.465502909393184
X2020_246s_F20_S347_L002_R1_001.2020_246s_F20_S347_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	47569	4645	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	4.51344362925435	0.0945994239946183
X2020_246s_F23_S371_L002_R1_001.2020_246s_F23_S371_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	31362	4433	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	3.81990944455073	0.0669600153051464
X2020_246s_F24_S379_L002_R1_001.2020_246s_F24_S379_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	75555	5720	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	3.30223016345708	0.0330884785917544
X2020_246s_G1_S4_L002_R1_001.2020_246s_G1_S4_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	158540	4843	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	1.63870316639334	0.0895673016273496
X2020_246s_G2_S12_L002_R1_001.2020_246s_G2_S12_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	33447	2923	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	1.73707656890005	0.278051843214638
X2020_246s_G5_S36_L002_R1_001.2020_246s_G5_S36_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	193248	5246	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	1.81010928961749	0.0424325219407187
X2020_246s_G6_S44_L002_R1_001.2020_246s_G6_S44_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	52491	5342	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	3.2443657007868	0.0209559734049647
X2020_246s_G7_S52_L002_R1_001.2020_246s_G7_S52_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	56750	2568	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	1.83612334801762	0.333039647577092
X2020_246s_G8_S60_L002_R1_001.2020_246s_G8_S60_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	36909	2835	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	2.61724782573356	0.0839903546560459
X2020_246s_G11_S84_L002_R1_001.2020_246s_G11_S84_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	23778	2898	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	4.7396753301371	0.260745226680125
X2020_246s_G12_S92_L002_R1_001.2020_246s_G12_S92_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	18151	3824	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	4.71048427083907	0.044074706627734
X2020_246s_G13_S100_L002_R1_001.2020_246s_G13_S100_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	9711	2264	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	4.75749150447946	0.31922562043044
X2020_246s_G14_S108_L002_R1_001.2020_246s_G14_S108_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	12252	2499	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	5.54195233431277	0.457068233757754
X2020_246s_G17_S132_L002_R1_001.2020_246s_G17_S132_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	21417	2979	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	4.97735443806322	0.191436709156278
X2020_246s_G18_S140_L002_R1_001.2020_246s_G18_S140_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	23668	2763	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	1.68582051715396	0.105627851952003
X2020_246s_G19_S148_L002_R1_001.2020_246s_G19_S148_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	11876	2206	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	4.94274166385989	0.168406871000337
X2020_246s_G20_S156_L002_R1_001.2020_246s_G20_S156_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	15698	2783	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	5.30003822142948	0.184736909160403
X2020_246s_G23_S180_L002_R1_001.2020_246s_G23_S180_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	34443	3996	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	5.22602560752548	0.148070725546555
X2020_246s_G24_S188_L002_R1_001.2020_246s_G24_S188_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	94376	5996	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	3.39281173179622	0.0847673137238281
X2020_246s_H1_S196_L002_R1_001.2020_246s_H1_S196_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	1662	622	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	2.9482551143201	0
X2020_246s_H2_S204_L002_R1_001.2020_246s_H2_S204_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	53071	3337	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	1.59409093478548	0.088560607488082
