Cell_type	Age
X2020_246s_P11_S280_L002_R1_001.2020_246s_P11_S280_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_P12_S288_L002_R1_001.2020_246s_P12_S288_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_P13_S296_L002_R1_001.2020_246s_P13_S296_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_P14_S304_L002_R1_001.2020_246s_P14_S304_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
X2020_246s_P17_S328_L002_R1_001.2020_246s_P17_S328_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_P18_S336_L002_R1_001.2020_246s_P18_S336_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_P19_S344_L002_R1_001.2020_246s_P19_S344_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_P20_S352_L002_R1_001.2020_246s_P20_S352_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_A05.plate_21_090s_A05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_A06.plate_21_090s_A06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_A09.plate_21_090s_A09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_A10.plate_21_090s_A10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_A13.plate_21_090s_A13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_A15.plate_21_090s_A15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_A16.plate_21_090s_A16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_A17.plate_21_090s_A17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_A19.plate_21_090s_A19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_A20.plate_21_090s_A20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_090s_A23.plate_21_090s_A23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_B02.plate_21_090s_B02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_B05.plate_21_090s_B05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_B06.plate_21_090s_B06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_B09.plate_21_090s_B09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_B10.plate_21_090s_B10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_B13.plate_21_090s_B13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_B15.plate_21_090s_B15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_B16.plate_21_090s_B16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_B23.plate_21_090s_B23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_C05.plate_21_090s_C05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_C06.plate_21_090s_C06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_C10.plate_21_090s_C10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_C14.plate_21_090s_C14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_C16.plate_21_090s_C16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_C17.plate_21_090s_C17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_C19.plate_21_090s_C19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_C20.plate_21_090s_C20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_090s_C23.plate_21_090s_C23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_D05.plate_21_090s_D05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_D06.plate_21_090s_D06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_D09.plate_21_090s_D09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_D10.plate_21_090s_D10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_D13.plate_21_090s_D13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_D14.plate_21_090s_D14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_D17.plate_21_090s_D17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_D23.plate_21_090s_D23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_E05.plate_21_090s_E05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
