Cell_type	Age
plate_093s_H23_S372_L006_R1_001.plate_093s_H23_S372_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_I1_S5_L006_R1_001.plate_093s_I1_S5_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_I12_S93_L006_R1_001.plate_093s_I12_S93_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_I13_S101_L006_R1_001.plate_093s_I13_S101_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_I14_S109_L006_R1_001.plate_093s_I14_S109_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_I16_S125_L006_R1_001.plate_093s_I16_S125_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_I22_S173_L006_R1_001.plate_093s_I22_S173_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_093s_I24_S189_L006_R1_001.plate_093s_I24_S189_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_093s_J1_S197_L006_R1_001.plate_093s_J1_S197_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_J11_S277_L006_R1_001.plate_093s_J11_S277_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_J14_S301_L006_R1_001.plate_093s_J14_S301_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_J16_S317_L006_R1_001.plate_093s_J16_S317_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_J22_S365_L006_R1_001.plate_093s_J22_S365_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_093s_J24_S381_L006_R1_001.plate_093s_J24_S381_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_093s_K1_S6_L006_R1_001.plate_093s_K1_S6_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_K2_S14_L006_R1_001.plate_093s_K2_S14_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_K11_S86_L006_R1_001.plate_093s_K11_S86_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_K12_S94_L006_R1_001.plate_093s_K12_S94_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_K13_S102_L006_R1_001.plate_093s_K13_S102_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_K14_S110_L006_R1_001.plate_093s_K14_S110_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_K15_S118_L006_R1_001.plate_093s_K15_S118_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_K16_S126_L006_R1_001.plate_093s_K16_S126_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_K22_S174_L006_R1_001.plate_093s_K22_S174_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_093s_K24_S190_L006_R1_001.plate_093s_K24_S190_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_093s_L1_S198_L006_R1_001.plate_093s_L1_S198_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_L11_S278_L006_R1_001.plate_093s_L11_S278_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_L13_S294_L006_R1_001.plate_093s_L13_S294_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_L14_S302_L006_R1_001.plate_093s_L14_S302_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_L15_S310_L006_R1_001.plate_093s_L15_S310_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_L22_S366_L006_R1_001.plate_093s_L22_S366_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_093s_L24_S382_L006_R1_001.plate_093s_L24_S382_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_093s_M2_S15_L006_R1_001.plate_093s_M2_S15_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_M5_S39_L006_R1_001.plate_093s_M5_S39_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_M11_S87_L006_R1_001.plate_093s_M11_S87_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_M12_S95_L006_R1_001.plate_093s_M12_S95_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_M13_S103_L006_R1_001.plate_093s_M13_S103_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_M14_S111_L006_R1_001.plate_093s_M14_S111_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_M15_S119_L006_R1_001.plate_093s_M15_S119_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_M22_S175_L006_R1_001.plate_093s_M22_S175_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_093s_M24_S191_L006_R1_001.plate_093s_M24_S191_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_093s_N2_S207_L006_R1_001.plate_093s_N2_S207_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_N6_S239_L006_R1_001.plate_093s_N6_S239_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_N11_S279_L006_R1_001.plate_093s_N11_S279_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_N12_S287_L006_R1_001.plate_093s_N12_S287_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_N13_S295_L006_R1_001.plate_093s_N13_S295_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_N14_S303_L006_R1_001.plate_093s_N14_S303_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_N15_S311_L006_R1_001.plate_093s_N15_S311_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_N22_S367_L006_R1_001.plate_093s_N22_S367_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_093s_N24_S383_L006_R1_001.plate_093s_N24_S383_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_093s_O2_S16_L006_R1_001.plate_093s_O2_S16_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_O6_S48_L006_R1_001.plate_093s_O6_S48_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_O11_S88_L006_R1_001.plate_093s_O11_S88_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_O12_S96_L006_R1_001.plate_093s_O12_S96_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_O13_S104_L006_R1_001.plate_093s_O13_S104_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_O14_S112_L006_R1_001.plate_093s_O14_S112_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_O16_S128_L006_R1_001.plate_093s_O16_S128_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_O22_S176_L006_R1_001.plate_093s_O22_S176_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_093s_O24_S192_L006_R1_001.plate_093s_O24_S192_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_093s_P5_S232_L006_R1_001.plate_093s_P5_S232_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_P11_S280_L006_R1_001.plate_093s_P11_S280_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_P13_S296_L006_R1_001.plate_093s_P13_S296_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_P14_S304_L006_R1_001.plate_093s_P14_S304_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_P16_S320_L006_R1_001.plate_093s_P16_S320_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_P22_S368_L006_R1_001.plate_093s_P22_S368_L006_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
ss1_22_126s_A01_R1.ss1_22_126s_A01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_A02_R1.ss1_22_126s_A02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_A03_R1.ss1_22_126s_A03_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_A04_R1.ss1_22_126s_A04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_A05_R1.ss1_22_126s_A05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_A06_R1.ss1_22_126s_A06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_A07_R1.ss1_22_126s_A07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_A09_R1.ss1_22_126s_A09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_A11_R1.ss1_22_126s_A11_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_A12_R1.ss1_22_126s_A12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_B01_R1.ss1_22_126s_B01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_B02_R1.ss1_22_126s_B02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_B04_R1.ss1_22_126s_B04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_B05_R1.ss1_22_126s_B05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_B06_R1.ss1_22_126s_B06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_B07_R1.ss1_22_126s_B07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_B09_R1.ss1_22_126s_B09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_B10_R1.ss1_22_126s_B10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_B12_R1.ss1_22_126s_B12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_B13_R1.ss1_22_126s_B13_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_B14_R1.ss1_22_126s_B14_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_B15_R1.ss1_22_126s_B15_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_B20_R1.ss1_22_126s_B20_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_C01_R1.ss1_22_126s_C01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_C02_R1.ss1_22_126s_C02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_C03_R1.ss1_22_126s_C03_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_C04_R1.ss1_22_126s_C04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_C05_R1.ss1_22_126s_C05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_C06_R1.ss1_22_126s_C06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_C07_R1.ss1_22_126s_C07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_C09_R1.ss1_22_126s_C09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_C10_R1.ss1_22_126s_C10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_C12_R1.ss1_22_126s_C12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_C13_R1.ss1_22_126s_C13_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_C15_R1.ss1_22_126s_C15_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_C21_R1.ss1_22_126s_C21_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_D01_R1.ss1_22_126s_D01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_D02_R1.ss1_22_126s_D02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_D03_R1.ss1_22_126s_D03_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_D04_R1.ss1_22_126s_D04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_D05_R1.ss1_22_126s_D05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_D06_R1.ss1_22_126s_D06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_D07_R1.ss1_22_126s_D07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_D08_R1.ss1_22_126s_D08_R1_accepted_hits_sorted_rm_dup.bam	GMP	Juvenile
ss1_22_126s_D09_R1.ss1_22_126s_D09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_D10_R1.ss1_22_126s_D10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_D12_R1.ss1_22_126s_D12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_D13_R1.ss1_22_126s_D13_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_D14_R1.ss1_22_126s_D14_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_D15_R1.ss1_22_126s_D15_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_D19_R1.ss1_22_126s_D19_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_E01_R1.ss1_22_126s_E01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_E02_R1.ss1_22_126s_E02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_E03_R1.ss1_22_126s_E03_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_E04_R1.ss1_22_126s_E04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_E06_R1.ss1_22_126s_E06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_E07_R1.ss1_22_126s_E07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_E08_R1.ss1_22_126s_E08_R1_accepted_hits_sorted_rm_dup.bam	GMP	Juvenile
ss1_22_126s_E10_R1.ss1_22_126s_E10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_E11_R1.ss1_22_126s_E11_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_E12_R1.ss1_22_126s_E12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_E14_R1.ss1_22_126s_E14_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_E15_R1.ss1_22_126s_E15_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_E17_R1.ss1_22_126s_E17_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_E22_R1.ss1_22_126s_E22_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_F01_R1.ss1_22_126s_F01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_F02_R1.ss1_22_126s_F02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_F04_R1.ss1_22_126s_F04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_F05_R1.ss1_22_126s_F05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_F06_R1.ss1_22_126s_F06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_F07_R1.ss1_22_126s_F07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_F09_R1.ss1_22_126s_F09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_F10_R1.ss1_22_126s_F10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_F11_R1.ss1_22_126s_F11_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_F12_R1.ss1_22_126s_F12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_F13_R1.ss1_22_126s_F13_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_F14_R1.ss1_22_126s_F14_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_F15_R1.ss1_22_126s_F15_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_F17_R1.ss1_22_126s_F17_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_F18_R1.ss1_22_126s_F18_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_F19_R1.ss1_22_126s_F19_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_F21_R1.ss1_22_126s_F21_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_F22_R1.ss1_22_126s_F22_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_G01_R1.ss1_22_126s_G01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_G02_R1.ss1_22_126s_G02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_G03_R1.ss1_22_126s_G03_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_G04_R1.ss1_22_126s_G04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_G05_R1.ss1_22_126s_G05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_G06_R1.ss1_22_126s_G06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_G07_R1.ss1_22_126s_G07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_G09_R1.ss1_22_126s_G09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_G10_R1.ss1_22_126s_G10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_G11_R1.ss1_22_126s_G11_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_G12_R1.ss1_22_126s_G12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_G13_R1.ss1_22_126s_G13_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_G14_R1.ss1_22_126s_G14_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_G15_R1.ss1_22_126s_G15_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_G19_R1.ss1_22_126s_G19_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_G21_R1.ss1_22_126s_G21_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_H01_R1.ss1_22_126s_H01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_H02_R1.ss1_22_126s_H02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_H05_R1.ss1_22_126s_H05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_H06_R1.ss1_22_126s_H06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_H09_R1.ss1_22_126s_H09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_H10_R1.ss1_22_126s_H10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_H11_R1.ss1_22_126s_H11_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_H12_R1.ss1_22_126s_H12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_H13_R1.ss1_22_126s_H13_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_H14_R1.ss1_22_126s_H14_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_H15_R1.ss1_22_126s_H15_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_H16_R1.ss1_22_126s_H16_R1_accepted_hits_sorted_rm_dup.bam	GMP	Juvenile
ss1_22_126s_H17_R1.ss1_22_126s_H17_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_H19_R1.ss1_22_126s_H19_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_H21_R1.ss1_22_126s_H21_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_H22_R1.ss1_22_126s_H22_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_I01_R1.ss1_22_126s_I01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_I02_R1.ss1_22_126s_I02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_I03_R1.ss1_22_126s_I03_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_I04_R1.ss1_22_126s_I04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_I05_R1.ss1_22_126s_I05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_I06_R1.ss1_22_126s_I06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_I07_R1.ss1_22_126s_I07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_I08_R1.ss1_22_126s_I08_R1_accepted_hits_sorted_rm_dup.bam	GMP	Juvenile
ss1_22_126s_I09_R1.ss1_22_126s_I09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_I10_R1.ss1_22_126s_I10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_I11_R1.ss1_22_126s_I11_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_I12_R1.ss1_22_126s_I12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_I13_R1.ss1_22_126s_I13_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_I14_R1.ss1_22_126s_I14_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_I15_R1.ss1_22_126s_I15_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_I18_R1.ss1_22_126s_I18_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_I19_R1.ss1_22_126s_I19_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_I20_R1.ss1_22_126s_I20_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_I21_R1.ss1_22_126s_I21_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_I23_R1.ss1_22_126s_I23_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_J01_R1.ss1_22_126s_J01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_J02_R1.ss1_22_126s_J02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_J03_R1.ss1_22_126s_J03_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_J04_R1.ss1_22_126s_J04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_J05_R1.ss1_22_126s_J05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_J06_R1.ss1_22_126s_J06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_J07_R1.ss1_22_126s_J07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_J08_R1.ss1_22_126s_J08_R1_accepted_hits_sorted_rm_dup.bam	GMP	Juvenile
ss1_22_126s_J09_R1.ss1_22_126s_J09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_J10_R1.ss1_22_126s_J10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_J11_R1.ss1_22_126s_J11_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_J12_R1.ss1_22_126s_J12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_J13_R1.ss1_22_126s_J13_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_J14_R1.ss1_22_126s_J14_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_J15_R1.ss1_22_126s_J15_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_J17_R1.ss1_22_126s_J17_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_J19_R1.ss1_22_126s_J19_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_J20_R1.ss1_22_126s_J20_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_J21_R1.ss1_22_126s_J21_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_J22_R1.ss1_22_126s_J22_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
