p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Dnajc19	5.0589125580842e-09	1.09797354404301	0.652	0.375	7.618216421219e-05
Hmgn5	5.33788035134879e-09	1.40639958261871	0.382	0.111	8.03831402109614e-05
Prmt10	5.44525487009488e-09	1.08724284703074	0.386	0.082	8.20000930887588e-05
Mcee	5.52773055759763e-09	1.47858168870506	0.481	0.225	8.32420944668627e-05
Mcmbp	5.54096342854957e-09	1.59183662825044	0.618	0.264	8.34413682705279e-05
St8sia4	5.71538468375076e-09	1.13956599020683	0.674	0.246	8.60679779526028e-05
Tardbp	5.95773635680872e-09	1.08840035004975	0.742	0.479	8.97175517971825e-05
Gm4285	5.98613021499958e-09	1.2600436445644	0.421	0.096	9.01451349076787e-05
Gimap1os	6.0388315624626e-09	1.00423902463823	0.94	0.846	9.09387644991243e-05
Gm42583	6.18919180669241e-09	1.4264168550416	0.339	0.089	9.3203039416981e-05
Eif2ak2	6.20208048403486e-09	1.32792482896073	0.622	0.279	9.3397130009081e-05
Hist1h1c	6.24135570939656e-09	1.51320822709048	0.373	0.143	9.39885756278028e-05
Rgs7bp	6.49464293483132e-09	2.59804178256612	0.167	0.007	9.78028279556248e-05
Gm43190	6.94328803113835e-09	1.15156792666027	0.455	0.136	0.000104558974460912
Xaf1	7.00582690373933e-09	1.39070587089951	0.502	0.25	0.000105500747343411
Myeov2	7.07614074487521e-09	1.23054138923623	0.734	0.543	0.000106559603477076
Cks2	7.12318169261784e-09	1.41640619556565	0.339	0.15	0.000107267993109132
Il4	7.46746629759014e-09	1.84816979181062	0.511	0.107	0.00011245257497541
Skil	7.87434613502622e-09	1.29314328521243	0.202	0.021	0.00011857977844736
BE692007	7.91570324989832e-09	1.55239862406842	0.326	0.057	0.000119202575240219
Bcas2	7.99586069455824e-09	1.1308454097451	0.712	0.464	0.000120409666199353
Gm29361	8.50295524615274e-09	1.26384180910506	0.661	0.325	0.000128046003051814
Pcf11	9.35313137623281e-09	1.27226712990803	0.511	0.229	0.00014084880539469
Snrnp70	9.35650322733115e-09	1.07361666727463	0.845	0.657	0.00014089958210038
Ado	9.69919953217625e-09	2.65705829382374	0.438	0.196	0.000146060245755042
Gm27201	9.94724246106005e-09	1.58566968756604	0.3	0.046	0.000149795524221103
Gm26699	1.03902784738586e-08	1.93613567399122	0.335	0.068	0.000156467203537837
Romo1	1.09504356327258e-08	1.10575199125798	0.863	0.8	0.000164902610193218
Pbx1	1.15553486812436e-08	1.14399823652209	0.773	0.407	0.000174011995790848
Gm10719	1.1604897293153e-08	1.56918365441786	0.206	0.164	0.00017475814833759
Mob4	1.18138188286546e-08	1.07288380364659	0.575	0.261	0.00017790429774071
Smarca5	1.18346257114038e-08	1.03557040834358	0.562	0.229	0.000178217628588029
Ltb	1.20522544808505e-08	1.09150513327726	0.893	0.825	0.000181494900227128
Xpo1	1.21905140507139e-08	1.19078118872905	0.408	0.157	0.000183576951089701
Gm43362	1.24018504920396e-08	1.80306189347467	0.249	0.075	0.000186759466559624
Gm16794	1.47944414508766e-08	1.04142489872767	0.322	0.096	0.00022278949380875
Ndufb5	1.50032270067801e-08	1.00340028376532	0.704	0.486	0.000225933595495101
Bod1l	1.53271516990006e-08	1.26384235478478	0.472	0.236	0.000230811577435251
Tulp2	1.56170087826531e-08	1.52155112970077	0.249	0.014	0.000235176535257973
Csf2rb	1.59964688225307e-08	2.2019422908866	0.343	0.089	0.00024089082399849
Hnrnph3	1.69574655979775e-08	1.16939600364515	0.725	0.357	0.000255362474439943
Mmp16	1.84651729612347e-08	2.07165273864197	0.266	0.05	0.000278067039623233
Gm17535	1.90959907044401e-08	1.0333888006508	0.189	0.146	0.000287566524018164
Cep290	2.0500976699133e-08	1.1999712295256	0.33	0.096	0.000308724208112244
Rbbp6	2.08233927431183e-08	1.17731884478409	0.639	0.275	0.000313579471318618
Zfp710	2.14506738281919e-08	2.31365723045892	0.382	0.079	0.000323025697178742
Kif2a	2.15786533929137e-08	1.30933451204109	0.519	0.218	0.000324952941443887
Tomm70a	2.24863466826741e-08	1.21460453688393	0.425	0.154	0.000338621894694389
Rian	2.33545643123464e-08	1.24571153098209	0.245	0.043	0.000351696383979624
Brd3	2.37875224882766e-08	1.25263470115604	0.824	0.643	0.000358216301150958
Zfp704	2.39752251920214e-08	1.28699603096156	0.528	0.186	0.00036104291616665
Mcc	2.80204464300053e-08	1.35386920436443	0.541	0.207	0.00042195990278945
Ndufs6	2.97898608278702e-08	1.30854620639322	0.601	0.396	0.000448605514206898
Gm16141	3.01585243447574e-08	1.67889227503057	0.524	0.196	0.000454157218107702
Mthfs	3.05278006605171e-08	1.12514921743795	0.476	0.2	0.000459718150146728
Lcorl	3.09899599545377e-08	1.41974041602817	0.395	0.111	0.000466677806955383
Snhg6	3.26551687328538e-08	1.02010027684754	0.588	0.321	0.000491754185948045
H2-Q10	3.60319775790611e-08	1.08149948342074	0.923	0.757	0.000542605550363081
Gm15675	3.70726071968407e-08	1.26509687229069	0.283	0.096	0.000558276391777224
5830487J09Rik	3.71476427801521e-08	1.06929698215545	0.399	0.086	0.000559406352626311
Smim4	4.10800746625692e-08	1.5333454515559	0.605	0.386	0.00061862484434363
Tnks2	4.19662920969551e-08	1.1219868557301	0.502	0.236	0.000631970392688047
Hdgfrp3	4.23521181274166e-08	1.12331973420039	0.429	0.143	0.000637780546880766
Ms4a6c	4.84360268117931e-08	2.04043279818758	0.403	0.096	0.000729398127758793
Chd4	4.84430620273734e-08	1.00191274328618	0.888	0.732	0.000729504071070215
D130007C19Rik	5.06288179084682e-08	1.15914357198191	0.296	0.079	0.000762419368883623
Trappc2l	5.28493271089442e-08	1.15388609311504	0.425	0.257	0.00079585801693359
Cep57l1	5.68425588951839e-08	1.00756995990949	0.657	0.318	0.000855992094402574
Appl1	5.69726051155281e-08	1.03155376316629	0.558	0.254	0.000857950460434738
Deb1	6.11926056986058e-08	1.16712171272739	0.369	0.139	0.000921499449215304
Cbfa2t2	6.1827788265203e-08	2.01952637219838	0.558	0.225	0.000931064663485692
Tmem170b	6.55174683017151e-08	2.16024463835431	0.296	0.079	0.000986627555155527
Amd1	6.61632236368188e-08	1.08751874446242	0.575	0.254	0.000996351984746854
Zbtb4	6.7622392534527e-08	1.75122591171178	0.348	0.075	0.00101832560917744
Wdfy1	6.90851910871433e-08	1.03647249724272	0.519	0.261	0.00104035389258129
Gm26742	7.05924105117404e-08	1.48162228659514	0.292	0.039	0.0010630511098963
Ckap5	8.12713343983156e-08	1.57403494095205	0.408	0.154	0.00122386502470423
Chsy1	8.4370926076392e-08	1.09267493233752	0.197	0.018	0.00127054177578439
Sox4	8.83790369417622e-08	1.48264965460062	0.532	0.204	0.001330899917306
Gm27389	9.2094014457861e-08	1.06743847530892	0.305	0.071	0.00138684376372093
Nedd8	9.29056582508212e-08	1.20051967945525	0.751	0.725	0.00139906630759912
Ccdc171	9.75319578322929e-08	1.34556024635666	0.438	0.143	0.0014687337529965
Ammecr1	9.81399565753864e-08	1.35410187834943	0.21	0.029	0.00147788960606874
Hbb-bt	1.01374625696476e-07	1.65437869400856	0.258	0.086	0.00152660048836323
Gm44238	1.05546532545555e-07	1.18318567450407	0.18	0.043	0.00158942523360351
Cox4i2	1.05804558647763e-07	2.50363248611496	0.223	0.046	0.00159331084867666
Gm47314	1.06044546905056e-07	1.23371645765091	0.494	0.204	0.00159692483184324
Zfp329	1.08022682346008e-07	1.47968107481483	0.433	0.146	0.00162671357344853
Per3	1.0867470730983e-07	1.67415905666344	0.635	0.279	0.00163653241737873
Acin1	1.1228549472789e-07	1.12775916602739	0.773	0.564	0.00169090726510729
Capns1	1.23372591682472e-07	1.08967497263199	0.588	0.332	0.00185786785814634
Meg3	1.25944598977611e-07	1.35580588622719	0.524	0.271	0.00189659971600384
Ptafr	1.32204793453921e-07	1.00714658527909	0.536	0.307	0.0019908719846226
Arl14ep	1.38915829723167e-07	1.31103099430849	0.515	0.2	0.00209193347980117
Synj2bp	1.39996000511418e-07	1.06799335509665	0.631	0.275	0.00210819977170145
Cep57	1.51874117121825e-07	1.37408041701024	0.549	0.207	0.00228707232973756
Xbp1	1.57537121148392e-07	1.20437271927258	0.777	0.664	0.00237235150737363
Zfp292	1.66819006522906e-07	1.05005063872819	0.502	0.204	0.00251212741922844
B130021K23Rik	1.72028379240026e-07	1.21145890868861	0.455	0.139	0.00259057536297555
Tmem265	1.77763523964323e-07	1.81189837801825	0.352	0.046	0.00267694090737875
RP23-296I6.7	1.89496038352255e-07	1.16572070949685	0.21	0.025	0.00285362084154661
1110058L19Rik	1.90502081777671e-07	1.2120101214267	0.451	0.207	0.00286877084948995
Ndufb6	2.00518545332272e-07	1.1007100543898	0.609	0.436	0.00301960877415869
Rfwd2	2.01779429112704e-07	1.35402576074365	0.498	0.175	0.00303859642300821
RP24-321N12.1	2.03613662300775e-07	1.7305582023961	0.343	0.086	0.00306621814058737
RP23-464I9.2	2.07460365754967e-07	1.17109203286008	0.485	0.221	0.00312414564790404
Kdm3b	2.0897108953317e-07	1.0235933215378	0.502	0.175	0.00314689563728
Gm44189	2.15779123123882e-07	1.2372447516508	0.476	0.182	0.00324941781512254
Mrps36	2.17065666297934e-07	1.47999132025495	0.399	0.182	0.00326879186878059
Ndufa1	2.32600551850629e-07	1.06255144640848	0.575	0.396	0.00350273171031863
Gm28874	2.41873773005936e-07	1.76402979604208	0.33	0.114	0.00364237714769639
Rgl1	2.47933835042503e-07	1.46058028464865	0.197	0.029	0.00373363562190505
Polr2j	2.48588006600359e-07	1.13854749737181	0.695	0.525	0.00374348679139481
Rbm34	2.58832812953417e-07	1.15089940088291	0.584	0.236	0.0038977633302655
4930404I05Rik	2.75183875750112e-07	1.17686968927895	0.403	0.104	0.00414399398492094
Il15	2.86346802292829e-07	1.1489580734369	0.386	0.196	0.00431209649572771
Pnn	2.87178029371901e-07	1.09623967313475	0.777	0.525	0.00432461394431145
Etohd2	2.99262597736617e-07	1.08641939683941	0.365	0.093	0.00450659545931571
Ets1	3.09820649763056e-07	1.87614220613353	0.3	0.093	0.00466558916478186
Fnip1	3.18111983491976e-07	1.42158228693766	0.365	0.107	0.00479044835940567
Snrpd3	3.31888335689979e-07	1.12527390263779	0.536	0.289	0.00499790644715539
Gm43549	3.49944165304924e-07	1.54847388290187	0.429	0.211	0.00526980918532684
Scai	3.55207976819248e-07	1.13329734956882	0.511	0.182	0.00534907692292105
Rmnd1	3.60099787081711e-07	1.14023036739604	0.459	0.239	0.00542274269366349
Gimap3	3.62022565714779e-07	1.98526922906202	0.3	0.071	0.00545169781709885
Whsc1l1	3.76464325592007e-07	1.05964485685531	0.648	0.379	0.00566917627909003
Ppp2r5c	3.82004664596257e-07	1.23926162391818	0.828	0.661	0.00575260824415503
Rhag	4.07480887981122e-07	2.09823259795068	0.124	0.043	0.00613625469210771
RP24-120B18.6	4.09860172836338e-07	1.93562274234551	0.429	0.104	0.00617208434274242
Gm26723	4.18256031833414e-07	1.28499642972839	0.167	0.054	0.00629851758337938
Anapc13	4.27978627056996e-07	1.20150626846937	0.721	0.55	0.0064449301448513
Dnajc18	4.47305512863586e-07	1.82301142964835	0.416	0.132	0.00673597371821274
Fcer1g	4.62845215685025e-07	1.19338004039916	0.348	0.193	0.00696998610300079
Ccdc174	4.69656930306063e-07	1.50221763077769	0.438	0.132	0.007072563713479
Ppig	5.18541406582571e-07	1.12315964280722	0.502	0.204	0.00780871504172694
Wdfy3	5.64768882773381e-07	1.70219938366479	0.489	0.189	0.00850485460568435
Mtx3	5.77499485323746e-07	1.29384718142645	0.292	0.079	0.00869656474949028
Nfkbiz	5.87883580003317e-07	1.26579703975936	0.361	0.157	0.00885293883126995
Gm36266	5.89278053556064e-07	1.44691658453932	0.296	0.057	0.00887393820850076
Gm26853	5.99147351528037e-07	1.18049746904464	0.476	0.189	0.00902255996666071
Gan	6.60730836360269e-07	1.15742135476454	0.519	0.139	0.0099499456647493
